0,Fri,7,4
1,Sat,6,5
2,Sun,10,8
3,Mon,9,3
4,Tue,7,3
0,Fri,7,4
1,Sat,6,5
2,Sun,10,8
3,Mon,9,3
4,Tue,7,3
